,event_timestamp,trade_sign,side,lob_action,order_executed,execution_price,execution_size,ask,bid,midprice,ask_volume,bid_volume,price_changing,midprice_change,R1,norm_trade_volume
0,30:19.4,1,ASK,UPDATE,TRUE,219.37,1,219.37,219.28,219.325,16,100,FALSE,0,0,0.008150441
1,30:19.4,1,ASK,REMOVE,TRUE,219.37,15,219.37,219.28,219.325,15,100,TRUE,0.005,0.005,0.122256612
2,30:19.4,1,ASK,UPDATE,TRUE,219.38,80,219.38,219.28,219.33,200,100,FALSE,0.005,0.005,0.652035263
3,30:19.4,1,ASK,UPDATE,TRUE,219.38,80,219.38,219.29,219.335,120,100,FALSE,0,0,0.652035263
4,30:19.4,1,ASK,REMOVE,TRUE,219.38,40,219.38,219.29,219.335,40,100,TRUE,0.05,0.05,0.326017632
5,30:19.4,1,ASK,REMOVE,TRUE,219.39,101,219.39,219.38,219.385,101,100,TRUE,0.005,0.005,0.82319452
6,30:19.4,1,ASK,UPDATE,TRUE,219.4,60,219.4,219.38,219.39,100,100,FALSE,0,0,0.489026447
7,30:19.4,1,ASK,REMOVE,TRUE,219.4,40,219.4,219.38,219.39,40,100,TRUE,0.01,0.01,0.326017632
8,30:19.7,1,ASK,REMOVE,TRUE,219.42,50,219.42,219.38,219.4,50,100,TRUE,0.04,0.04,0.40752204
9,30:21.6,1,ASK,UPDATE,TRUE,219.5,55,219.5,219.38,219.44,1004,100,FALSE,0,0,0.448274243
10,30:21.6,1,ASK,UPDATE,TRUE,219.5,948,219.5,219.38,219.44,949,100,FALSE,0,0,7.726617869
11,30:21.6,1,ASK,REMOVE,TRUE,219.5,1,219.5,219.38,219.44,1,100,TRUE,0.025,0.025,0.008150441
12,30:21.6,1,ASK,REMOVE,TRUE,219.52,100,219.52,219.41,219.465,100,100,TRUE,0.015,0.015,0.815044079
13,30:21.6,1,ASK,REMOVE,TRUE,219.55,100,219.55,219.41,219.48,100,100,TRUE,0.135,0.135,0.815044079
14,30:38.5,-1,BID,REMOVE,TRUE,219.58,100,219.65,219.58,219.615,100,100,TRUE,-0.005,0.005,0.539262853
15,30:38.5,-1,BID,REMOVE,TRUE,219.57,100,219.65,219.57,219.61,100,100,TRUE,-0.015,0.015,0.539262853
16,30:50.6,-1,BID,REMOVE,TRUE,219.57,20,219.62,219.57,219.595,200,20,TRUE,-0.02,0.02,0.107852571
17,30:50.6,-1,BID,REMOVE,TRUE,219.55,102,219.6,219.55,219.575,100,102,TRUE,-0.005,0.005,0.550048111
18,30:50.6,-1,BID,REMOVE,TRUE,219.54,100,219.6,219.54,219.57,100,100,TRUE,-0.005,0.005,0.539262853
19,30:50.6,-1,BID,REMOVE,TRUE,219.53,100,219.6,219.53,219.565,100,100,TRUE,-0.08,0.08,0.539262853
20,30:58.2,1,ASK,REMOVE,TRUE,219.59,300,219.59,219.38,219.485,100,100,FALSE,0,0,2.445132237
21,30:58.2,1,ASK,REMOVE,TRUE,219.59,100,219.59,219.38,219.485,100,100,TRUE,0.11,0.11,0.815044079
22,30:58.2,-1,BID,REMOVE,TRUE,219.57,100,219.62,219.57,219.595,100,100,TRUE,-0.11,0.11,0.539262853
